audio_file	transcription
Chapter12_135_135.wav	Convenio ciento sesenta y nueve OIT ninmi, pueblos indígenas y originarioskunata tapunarak kan, narak ima proyectokuna kallarikpi paykunapak derechos colectivos, shinallatak allpakuna wakllirikukpi.
Chapter12_61_61.wav	Chaskinkallami.
Chapter12_95_95.wav	Llamkay mana tiyashpa kay desempleoka mana shuwaytallaka mirachinchu.
Chapter12_132_132.wav	Kankunaka nachu kay conveniotaka riksinkichik?
Chapter12_59_59.wav	Turistakunataka chaskiyta ushankallami.
Chapter12_92_92.wav	Runakuna yachaytapash na yachankachu.
Chapter12_66_66.wav	Yarinki, yuyarinki Magdalena.
Chapter12_104_104.wav	Chay covid nishkata.
Chapter12_50_50.wav	Concejo municipalmantakunaka nimatapash na yuyarinchu.
Chapter12_68_68.wav	Na hatun industriakunaka, na hatun corporaciónkunaka, paykunaka na llamkaykunataka kunchu.
Chapter12_103_103.wav	E tragoka kay, tragoka chay kuruta wañuchin ninka.
Chapter12_57_57.wav	Larkakunata charin.
Chapter12_168_168.wav	Punku ukuta cartata shitamushkata rikurkankichu?
Chapter12_157_157.wav	Ñukaman sakiway.
Chapter12_150_150.wav	Alli pacha kashpaka consultata shinaychikyari.
Chapter12_159_159.wav	Allipacha.
Chapter12_32_32.wav	Alcaldesa Magdalena Ayala chayrayku kayachimuwarka.
Chapter12_166_166.wav	Fredy, Fredy.
Chapter12_35_35.wav	Ari, shinami kan, Eusebio.
Chapter12_161_161.wav	Elecciones municipales ñalla paktakun.
Chapter12_102_102.wav	Hala don Eusebio.
Chapter12_69_69.wav	Chaywanka imatak ninkapak munanki.
Chapter12_56_56.wav	Kuyaylla paisajekunata charin.
Chapter12_105_105.wav	Makipi chakipi churana rantika.
Chapter12_51_51.wav	Chaymi kanta kayashkani.
Chapter12_58_58.wav	Alli mikunatapash charin.
Chapter12_133_133.wav	Riksinchiktamari, shinatapash.
Chapter12_67_67.wav	Ñukanchik mamallaktapika setenta por ciento llamkaykunataka kukkunami, uchilla shinallatak mediano negociokuna, paykunami llamkaykunataka kun.
Chapter12_93_93.wav	Kunanmi ninan mutsurinchik, shuk uchilla katuna rantinawan kallarinkapak.
Chapter12_134_134.wav	Na yuyarikpika yachachisha.
Chapter12_94_94.wav	Kayallatak sumak kawsay uyachik antapi willachisha.
Chapter12_60_60.wav	Mascarillakunawan shamukpipash imatak rurarinka.
Chapter12_34_34.wav	Ñukaka tukuy shunkuwan rirkani.
Chapter12_160_160.wav	Kankuna mañashka consultata sakirini.
Chapter12_33_33.wav	Ñukawan rimankapak munan.
Chapter12_158_158.wav	Kaytaka ñukanchik yachashkami kanchik.
Chapter12_167_167.wav	Imatak, imatak, Manuela.
Chapter12_151_151.wav	Ima nishpatak manchankichik?
Chapter12_169_169.wav	Na na, pipak, imatak?
Chapter12_156_156.wav	Chayka makita waktanllami.
Chapter12_174_174.wav	Pitak wañukrinyari mejor rikuy, kay kachamushkata, rikuychik kay churashkata.
Chapter12_180_180.wav	Imatak shinashun.
Chapter12_20_20.wav	Mineraleskunaka mana papakunashna wiñanchu.
Chapter12_187_187.wav	Shinaka.
Chapter12_18_18.wav	Ima sustentable, ima agüita de vieja!
Chapter12_173_173.wav	Pitak wañushka?
Chapter12_27_27.wav	Kunanka mana yachankichikchu piwanmi satirikunkichik.
Chapter12_9_9.wav	Amarupak willachishkakunawanka, periodistakuna rurarka shuk shuk programakunata, empresa minera Golden Hands nishkakunamanta mana allita rimashpa.
Chapter12_145_145.wav	Mashi minkashka kikin ima kashpapash.
Chapter12_11_11.wav	Kunanllatak wayraman llukshikun.
Chapter12_142_142.wav	Yachankichu krik wamprakuna.
Chapter12_7_7.wav	Paymi kipaman niwarka.
Chapter12_29_29.wav	Kanpa yayaka Eusebiomi kan, nachu?
Chapter12_16_16.wav	Minería infierno paskashka
Chapter12_189_189.wav	Shinaka.
Chapter12_129_129.wav	Chaytami mashika ninkapak munan.
Chapter12_42_42.wav	Halaw, manapinka.
Chapter12_89_89.wav	Paykunami mamallaktataka sinchiyachin, llamkayta kun.
Chapter12_116_116.wav	Mana allpata kichunakunchikka, mama.
Chapter12_45_45.wav	Shinapash bancokunataka mana shuwanchu.
Chapter12_111_111.wav	Paymi shuk ministerio de energía ukupi llamkak runawan chayashka.
Chapter12_73_73.wav	Ari, alli ejemplota charinchik.
Chapter12_118_118.wav	Kay sarukuk allpaka ñukanchikpakmi kan
Chapter12_87_87.wav	Uchilla chawpilla empresakunatami gobiernokunaka yanapana kan.
Chapter12_127_127.wav	Imatatak ninkapak munawanki kaywanka?
Chapter12_80_80.wav	Shamuychik, shamuychik, mikuychik, imapash hampi illak tomatekunata.
Chapter12_74_74.wav	E doña Gumersindapak cooperativawan.
Chapter12_120_120.wav	Shinapash allpa ukupi tiyanakukkunaka estadopamari.
Chapter12_6_6.wav	Imatapash ña rurana kanchik.
Chapter12_28_28.wav	Fredymi kanki nachu?
Chapter12_143_143.wav	Umaka kunukyanmi, wiksapi mikuy illakpi.
Chapter12_17_17.wav	Minería sustentableta nishkata rimankichik.
Chapter12_188_188.wav	Shinaka.
Chapter12_144_144.wav	Ñukanchikka na mineríapak contrachu kanchik.
Chapter12_1_1.wav	Kay pushak Amaru Sánchezta rimachishkakunaka sumak kawsay uyachik antapika ninanta uyarikun.
Chapter12_10_10.wav	Uyachik antata uyankichik.
Chapter12_172_172.wav	Imashkata, imashkata, willachiychik.
Chapter12_186_186.wav	Shinaka?
Chapter12_19_19.wav	Ni maykan minería na sustentable kanchu.
Chapter12_26_26.wav	Amenazankapak ña kayamuy kallarin.
Chapter12_8_8.wav	Pipash na shinapachaka yuyachiwashkachu.
Chapter12_181_181.wav	Ña rimayta sakishunchu, kay Golden Handsmanta.
Chapter12_175_175.wav	Imatak, imatak, pitak wañukrin?
Chapter12_21_21.wav	Mineralkunaka tukurinmi.
Chapter12_75_75.wav	Ari ari, chay.
Chapter12_81_81.wav	Shamuychik, mashikuna, shamuychik, rantipaychik, rantipaychik.
Chapter12_121_121.wav	Allpa ukupi riquezakunapash estadopamari.
Chapter12_119_119.wav	Papeltapish charinchikmi.
