model_id	filename	reference	hyp
omniASR_LLM_1B	Chapter10_100_100.wav	Shuk kuri muruwanshina kay municipiopi llakikunata allichinkapak munanakunchikmi.	shuk kuri muruwanshina kay munisipiopi llakikunata alichinkapak munanakunchikmi
omniASR_LLM_1B	Chapter10_102_102.wav	Chay Wilson Gualachika parlaytaka mana shaykunchu.	chay wilsun walachika parlaytaka mana shaykunchu
omniASR_LLM_1B	Chapter10_103_103.wav	Parlan, parlan, mapa nishkakunata rikuchikun.	parlan parlan mapa nishkakunata rikuchikun
omniASR_LLM_1B	Chapter10_104_104.wav	Númerokunamanta rimakun.	numerokunamanta rimajun
omniASR_LLM_1B	Chapter10_105_105.wav	Ashta paypa empresaka sumak nikunmi.	ashta paypa empresaqa suman nikhunmi
omniASR_LLM_1B	Chapter10_106_106.wav	Shinaka, ñuka mashi, ñukanchik empresaka municipiomanta karikunawan, warmikunawanpash ashtakata llamkaytami kunka.	shinaka ñuka mashish ñukanchik empresaka munisipiomanta jarikunawan warmikunawanpash ashtakata llankaytami kunka
omniASR_LLM_1B	Chapter10_107_107.wav	Ñukanchikka kullkikunata Estadoman kushunmi.	ñukanchikka kullkikunata estadoman kushunmi
omniASR_LLM_1B	Chapter10_10_10.wav	Jaboneropak ayllullaktapi	jaboneropak ayllullaktapi
omniASR_LLM_1B	Chapter10_111_111.wav	Aha, allipachami kan, alcaldesa.	allipachami kan alcaldesa
omniASR_LLM_1B	Chapter10_114_114.wav	Ñankunata hawa mayumanta tukuy municipio ayllukunaman chayankapakpash rurashun.	ñankunata jawa mayumanta tukuy municipio ayllukunaman chayankapapash rurashun
omniASR_LLM_1B	Chapter10_11_11.wav	Pandemiamanta rimaykuna	pandemiamanta rimaykuna
omniASR_LLM_1B	Chapter10_120_120.wav	Shinallatak kaypika churashunmi shuk alli internetta, cinco ge nishkata.	shinallatak kaypika churashunmi shuk alli internetta 5g nishkata
omniASR_LLM_1B	Chapter10_121_121.wav	Ay mashi Wilson Gualachi.	imashi wirisun walachi
omniASR_LLM_1B	Chapter10_123_123.wav	Alcaldíapa apoyota chaskipaychik.	alcaldiapa apoyota chashkipaychik
omniASR_LLM_1B	Chapter10_124_124.wav	Kikinpa alli yanapayka kankami, licencia ambiental nishkata llukchinkapak, shinallatak ayllullaktamanta licencia social nishkata llukchiy ushankapak.	kikinpa ali yanapayka kankami licencia ambiental nishkata llukchinkapa shinallatak ayllu llaktamanta licencia social nishkata llukchi ushankapa
omniASR_LLM_1B	Chapter10_129_129.wav	Allipacha kushikushkami kani kay proyecto minerowan.	alipacha kushijushkami kani kay proyecto minerowan
omniASR_LLM_1B	Chapter10_12_12.wav	Chunka capítulo	chunka capitulo
omniASR_LLM_1B	Chapter10_130_130.wav	Shinallatak, ashtawankarin kay tukuy zonapi comunakuna modernizarina kakpi.	shinallata ashtawankarin kay tukuy sunapi kumunakuna modernizarina kakpi
omniASR_LLM_1B	Chapter10_131_131.wav	Tukuyllapa internet, chaymi ñukanchikpa shuk mushuk derecho kana.	tukuyllapa internet chaymi ñukanchipa shuk mushuk derecho kana
omniASR_LLM_1B	Chapter10_132_132.wav	Internetta charinkimi nishpa Wilson runaka alcaldesamanka nikurka.	internetta charinkimi nishpa buelson runaka alcaldesamanka nikurkan
omniASR_LLM_1B	Chapter10_134_134.wav	Mana kashpaka, ñuka imatalla pasashkata uyapaychik.	mana kashpaka ñuka imatalla pasashkata uyapaychi
omniASR_LLM_1B	Chapter10_138_138.wav	Miguelina, Miguelina, chaypichu kanki?	miguelina miguelina chaypichu kanki
omniASR_LLM_1B	Chapter10_139_139.wav	Shuk kay espíritukunamanta tantanakuypi kan yarkanimi.	shuk kay escritokunamanta tantanakuypi kan yarkanimi
omniASR_LLM_1B	Chapter10_140_140.wav	Mana kashpaka kaykunaka almakunata kayachishpacha tiyanakunpash yuyarkanimi.	mana kashpaka kaykunaka almakunata kayachishpacha tiyanajunpash yarkanimi
omniASR_LLM_1B	Chapter10_141_141.wav	Kaytaka kashna yuyarkani, kayna killalla paykunapa yaya mama covidwan wañushkamantayari.	kaytaka kashna yuyarkani kayna killalla paykunapa yaya mama covidwan wañushkamantayari
omniASR_LLM_1B	Chapter10_142_142.wav	Mana uyayta ushanchikchu, Miguelina.	mana uyayta ushanchikchu miguelina
omniASR_LLM_1B	Chapter10_144_144.wav	Chaypichu kanki, Miguelina?	charpichu kanki miguelina
omniASR_LLM_1B	Chapter10_146_146.wav	Ventanaman kimirirkanimi.	ventanaman kimirirkanimi
omniASR_LLM_1B	Chapter10_148_148.wav	Ñukaka silbashpa uyachinawanmi purini.	ñukaka silvashpa uyachinawanmi purini
omniASR_LLM_1B	Chapter10_150_150.wav	Mashikuna, asipashami, ima almatapash mana kayachinakushkachu.	mashikuna asipashan ima almatapash mana kayachinakushkachu
