audio_file	transcription	duration
Chapter10_100_100.wav	Shuk kuri muruwanshina, kay munisipi upi llakikunata allichinkapak munanakunchikmi.	6.077
Chapter10_102_102.wav	Chaykuyrtsun, wallachiyka, par laytaka mana shaykunchu.	4.4408125
Chapter10_103_103.wav	Parlan, parlan, mapa nishkakunata rikuchikun.	4.060375
Chapter10_104_104.wav	Nunmerukunamanta rimakun.	2.01375
Chapter10_105_105.wav	Ashtapaypa empresaka suman nikunmi.	3.83725
Chapter10_106_106.wav	Shinaka ñuka mashi, ñukanchik empresaka munisipi umanta, kariykunawan, muarmikunawanpash ashtakata llamkaytami kunk.	9.742875
Chapter10_107_107.wav	Ñukanchikka kullkikunata estaduman kushunmi.	3.5156875
Chapter10_10_10.wav	Hawaniropak ayllullaktapi.	2.4209375
Chapter10_111_111.wav	Aha, allipachami kan, allkaldesa.	2.7791875
Chapter10_114_114.wav	Ñankunata hawa mayumanta tukuy munisipi ayllukunaman chayankapakpash rurashun.	7.2726875
Chapter10_11_11.wav	Pandimiamanta rimaykuna.	2.40225
Chapter10_120_120.wav	Shinallatak kaypi kachurashunmi shuk alli interneta sin kohenishkata.	5.0134375
Chapter10_121_121.wav	Aha, imashi willsan wolachik.	2.2386875
Chapter10_123_123.wav	Alkaldiapak apuyuta chaskipaychik.	2.94125
Chapter10_124_124.wav	Kikinpa alli yanapayka kankami, licencia, ambientallatak ayllullaktamanta licenciashkash ushankapak?	10.4138125
Chapter10_129_129.wav	Allipacha kushikushkami kani kay proyectak minirawan.	4.2554375
Chapter10_12_12.wav	Chunka kapiturun.	1.256125
Chapter10_130_130.wav	Shinallatak, ashtawankarin kay tukuy sumapi munakuna, modernisarina kakpi.	6.787125
Chapter10_131_131.wav	Tukuyllapak internet, chaymi ñukanchikpash shuk mushuk deriychu kana.	4.78025
Chapter10_132_132.wav	Inteernita charinkimi nishpa willshuk runaka, alli samanka nikurka.	5.129125
Chapter10_134_134.wav	Mana kashpaka, ñuka imatalla pasashkata uyapaychik.	4.5311875
Chapter10_138_138.wav	Mikinina, mikinina, chaypichu kanki.	3.4700625
Chapter10_139_139.wav	Shuk, kay espiriy tukunamanta tantanakuypi kanyarkanimi.	5.051375
Chapter10_140_140.wav	Mana kashpaka, kaykunaka allmakunata kayachishpacha tiyanakumpash yarkanimi.	6.500875
Chapter10_141_141.wav	Kaytaka kashna yuyarkani, kay na killalla paykunapa yayamama kukpirwan wañushkamanta yari.	7.356
Chapter10_142_142.wav	Mana uyayta ushanchikchu, nirillina.	2.618875
Chapter10_144_144.wav	Chapichu kanki, Miguelina.	1.7208125
Chapter10_146_146.wav	Pintanaman kimirirkanimi.	2.126625
Chapter10_148_148.wav	Ñukaka sillipashpa uyachina warmi purini.	2.9656875
Chapter10_150_150.wav	Mashikuna, asipashan, ima allmatapash mana kayachina kushkachu.	5.792125
Chapter10_151_151.wav	Sum ari, chay sum nishkapimi, espanyamanta mashikwan rimankapak munana kushka.	6.499125
Chapter10_152_152.wav	Shinapash kay haboneruk payllullaktapika, ispiritokunapash allmakunapash lluchanki.	6.8569375
Chapter10_154_154.wav	Imashina nin, uchik yallakta ha toninferno.	4.392375
Chapter10_155_155.wav	Kunanka, chay alli ña charishka warmiwan, cura wampash yankata shimikunawan shamunakun.	7.723625
Chapter10_156_156.wav	Martapak ushita shu abortu, abortu shinashkata ninakurkami.	6.0184375
Chapter10_159_159.wav	Kikin shuyuchishkanki, Martapa, hapolu ñopa ushiktaka.	4.9611875
Chapter10_163_163.wav	Kantaka mana erudishpushaka mana kunkanka huchanku.	4.8416875
Chapter10_164_164.wav	Husticia kantaka huchachinkami.	2.5451875
Chapter10_166_166.wav	Kishpichiway tayta cura.	2.06375
Chapter10_168_168.wav	Apendisin nishkata Martapa ushiyta wik samanta llukchirkani.	4.5909375
Chapter10_174_174.wav	Ninananayta charirka apinti sinishkawan.	3.2326875
Chapter10_178_178.wav	Pitak, kanmanka nirka, hampika abortutak rurashkanishpa?	4.83275
Chapter10_179_179.wav	Chaymanta Apolu ña taytaka, wichay tukushka, paypa ushita wiksay ushakiymanta.	7.2738125
Chapter10_182_182.wav	Apolonio runaka paypa ushiyta violashkamanta wichkay tukushka kan.	4.9780625
Chapter10_189_189.wav	Kaykanwipa shutika kami, pillorash del tiyaderpues.	4.0459375
Chapter10_190_190.wav	Tukuylla munisipi, hampi katuna ukupi, kay hampitaka karanka.	5.0768125
Chapter10_197_197.wav	Kaytaka kay organización mundialde la salud ukumantami shina nirka.	4.5101875
Chapter10_19_19.wav	Shuk ruku radialista tawiyarkani.	2.6095625
Chapter10_200_200.wav	Shinapacha tayta cura.	1.68525
Chapter10_207_207.wav	Ima pak, chana hampi ternayka, papa nishka mana charinachu nishkami.	7.1493125
Chapter10_208_208.wav	Shinapachachu kan, tayta cura.	2.440625
Chapter10_209_209.wav	Aportokunamanta piñarishpaka, kay hampikunawanka mana yapa tiyankachu.	5.4816875
Chapter10_215_215.wav	Kay antikonceptiwash nishkakunaka, kariykunapash warmikunapash wawakunata charina mana charinatapash paykunami rikunka.	8.8114375
Chapter10_216_216.wav	Wawakuna, diuskachamushkata charinalla.	4.1540625
Chapter10_218_218.wav	Ama justaka kaypi churaychu, tayta cura.	3.0279375
Chapter10_219_219.wav	Ayllukukukunapika machashka kusakuna ni violashpa chichu saki.	4.198375
Chapter10_21_21.wav	Chashna kashpaka manuela, parkikunaman rina kanchik.	3.4985625
Chapter10_222_222.wav	Warmi kunaka kayshina llakilla kawsachunmi riyushkamunan.	5.116625
Chapter10_223_223.wav	Katinkirachu diuswan.	1.850625
Chapter10_225_225.wav	Shinaka, pildorak hampikunaka kayapunchapak, chayshu hampikunaka, kayna punchapaka.	6.35725
