file	transcription	duration
Chapter10_100_100.wav	Shukori murowangsina, kaimuni si piwpiza kikunata ali cingabak munanahunjimi.	6.077
Chapter10_102_102.wav	Cea i-gul sunt gula cica, par la ita ca mana cea i-gul ju!	4.4408125
Chapter10_103_103.wav	Parlang, parlang, mapanis ka kuna tarikot chikong	4.060375
Chapter10_104_104.wav	Número com na manta de macho.	2.01375
Chapter10_105_105.wav	А что, пай-пай-присака, сумм мгнихоми!	3.83725
Chapter10_106_106.wav	Sinaka New Kamasi, New Kanci Empresaka, Unisipi Amanda, Hari Kunaun, Muarmiku Naoampas, Astakatasan Kaitami Kung	9.742875
Chapter10_107_107.wav	Nucantica Colquicunata está domandosion mi.	3.5156875
Chapter10_10_10.wav	Savoniropak aj žujak tapy.	2.4209375
Chapter10_111_111.wav	Ah-ha, alipachamican alcaldeza.	2.7791875
Chapter10_114_114.wav	Nyangkunatahawa Mayu Mantah, tu kui munisipu Aizu Kunaman, Caya Gapapas Rura Sur.	7.2726875
Chapter10_11_11.wav	பண்டுமியமாண்டா..ரிமைக்கும்...	2.40225
Chapter10_120_120.wav	しなざたかいピカチューラースミッション アージーインテーネット 進行兵にしかった	5.0134375
Chapter10_121_121.wav	I must see Wilson, well, l'll see.	2.2386875
Chapter10_123_123.wav	Alkal Dhyapa, Apolyota Chashki Paichi	2.94125
Chapter10_124_124.wav	Kiekimba alijana paiką kangami visensia, anvientalnišikata zžukti gapa. Si nažata raiziu zaktamanta liisensias socialnišikata zžukti usiangapa,	10.4138125
Chapter10_129_129.wav	Alipacha, kusi, hushka, minkäni, kai projekto, mineroon!	4.2554375
Chapter10_12_12.wav	C'Ungah Capitolo	1.256125
Chapter10_130_130.wav	Sin ajata, hasta vongar en Caituku y Sonapi como una cuna modernizarina capi.	6.787125
Chapter10_131_131.wav	toku japa internet, cei minyu kancipa su musuk derecu kana	4.78025
Chapter10_132_132.wav	Internet hacha ringuíme ni si pa' huil surunaca alcalde Samanga ni corca.	5.129125
Chapter10_134_134.wav	Мана Кащпака, Нюка и Матажя по Сашката у я пойти.	4.5311875
Chapter10_138_138.wav	میگلینہ چیپیچو کندی	3.4700625
Chapter10_139_139.wav	Šiu, kai esprituku namanda tanda na hojpe ką jarkanemi.	5.051375
Chapter10_140_140.wav	Manakaspa kaikunaka al makunata kaia tispacha tianna humbajer kanimi.	6.500875
Chapter10_141_141.wav	Kaip taką kas na jūjar kani, kai na kis jāsia paikunā paiai yamama, ko vidu angu anius kamantai arī.	7.356
Chapter10_142_142.wav	Μα να οι έτωσαν τίχτου, μιγελήνα!	2.618875
Chapter10_144_144.wav	¡Chalpichu kangi me gelina!	1.7208125
Chapter10_146_146.wav	बेन्ता नामान कि मिरिर्कानिमी	2.126625
Chapter10_148_148.wav	Niu kaka silbašpa o jatinovolmi porinin.	2.9656875
Chapter10_150_150.wav	Ma siikuna, aasipasem, ima almatapas manaka ja tine kuskatsju.	5.792125
Chapter10_151_151.wav	ソンあるちゃいソンにしかピンスパニアマンタマシワーグリマンガパモナナー クオシック	6.499125
Chapter10_152_152.wav	Ži napaška i habo nero paizužak tapika. Espiritu konaš alma kona pažužak.	6.8569375
Chapter10_154_154.wav	Įmasinanink, učižiažiaktą ha! Tunginvierno!	4.392375
Chapter10_155_155.wav	Kunanga, cair al linjak, cairisca guarmiun, kura bombas, iangatta si mi kunaun, samanahun.	7.723625
Chapter10_156_156.wav	Μαρτά παγωσίταξου αβόρτο, αβόρτος είναι σκάταν είναι να χωρκάμε.	6.0184375
Chapter10_159_159.wav	희키, 김수 유치시 간기! 마르타파, 하폴로 미워파우시타까!	4.9611875
Chapter10_163_163.wav	Kantakamana ir otis pusaka, māna kunganga kucangu!	4.8416875
Chapter10_164_164.wav	хус тіс'я кантака хуچа چิнгامі.	2.5451875
Chapter10_166_166.wav	Kispi ti o aitaita kura.	2.06375
Chapter10_168_168.wav	Apendisinis kata martapa usita biks samandas juktirkani.	4.5909375
Chapter10_174_174.wav	நின்னங்கானை நைத்தாட்டிருக்கா பெண்டிசினிஷ்காவம்.	3.2326875
Chapter10_178_178.wav	Pitu, com en canirca, amb el que abordeu totes les urnes canis.	4.83275
Chapter10_179_179.wav	ちゃいまんだー、ぼろによたいたか、ウィッチャイトコシか。パイパウシとウィッサーよさきまんだ。	7.2738125
Chapter10_182_182.wav	Apolognya runaka, paipa usita violas kamanda, bickey tu kus kakan.	4.9780625
Chapter10_189_189.wav	Cái, Commissiona, Pachutika, Kami. Pildora del día después.	4.0459375
Chapter10_190_190.wav	Tokuija munisipiohambihatuna okupi kai hambita ka karanga.	5.0768125
Chapter10_197_197.wav	Caetaca, Caetaca Organización Mundial de la Salud, Ocumanda, Mishinanierka.	4.5101875
Chapter10_19_19.wav	Šugruku radialista tao ārkani.	2.6095625
Chapter10_200_200.wav	Sì, la paccata e i takura.	1.68525
Chapter10_207_207.wav	Ćmapār, čāsna kambi tūnai ka, pāpaniska māna charinātu niskami.	7.1493125
Chapter10_208_208.wav	新なパチャチカンを頼んだいと言う	2.440625
