file	transcription	duration	forced_language
Chapter10_100_100.wav	¡Siu-kuri, muro o angcina! ¡Cai munice piu-pizaki con ata-ali-cingaba, mu-nan-ahun-jimi!	6.077	es
Chapter10_102_102.wav	¡Chai Gil, songo a la chica para la Itaacamanna, Chai Junju!	4.4408125	es
Chapter10_103_103.wav	Parla, parla, más paniska con la tariko chijo.	4.060375	es
Chapter10_104_104.wav	Número con la manta de macho.	2.01375	es
Chapter10_105_105.wav	Hasta pa' y pa' impresaca, son magníficos míos.	3.83725	es
Chapter10_106_106.wav	Sinaka Nukamashi, Nukanchi Empresaka, Unisipio Manda, Harikunaon, Muarmikuna Wampas, Astakatas y Ankaitami Kung.	9.742875	es
Chapter10_107_107.wav	Nucantica Colquicunata está domandosion mi.	3.5156875	es
Chapter10_10_10.wav	Saboniro Pag, Ayujag Tapi	2.4209375	es
Chapter10_111_111.wav	Ah-ha, alipachamican alcaldeza.	2.7791875	es
Chapter10_114_114.wav	que no se puede ver en el mundo, pero no se puede ver en el mundo.	7.2726875	es
Chapter10_11_11.wav	Pandemia Manta Rimaikona	2.40225	es
Chapter10_120_120.wav	Sinazataka y Pikachu la sumisio, a la internet sin cojén ni siquiera.	5.0134375	es
Chapter10_121_121.wav	Ay, me ha sido un gualachi.	2.2386875	es
Chapter10_123_123.wav	Al caldíapas apoyó tachaski paiki.	2.94125	es
Chapter10_124_124.wav	que quienba alian a paica con gami y es sencia ambiental ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas la licencia social ni siquiera te hagas	10.4138125	es
Chapter10_129_129.wav	Alipacha, Cucho y Jusquami, Cany, Caiproyecto Mineroón.	4.2554375	es
Chapter10_12_12.wav	Chunga Capítulo	1.256125	es
Chapter10_130_130.wav	Sin ajata, hasta vongar en Caituku y Sonapi como una cuna modernizarina capi.	6.787125	es
Chapter10_131_131.wav	tu cuijapa internet, te he y mi niucanci pa su musu de rechucana	4.78025	es
Chapter10_132_132.wav	Internet hacha ringuíme ni si pa' huil surunaca alcalde Samanga ni corca.	5.129125	es
Chapter10_134_134.wav	Manaka-spaka, nuka y matazha pasasquata, voy a pa' y ti.	4.5311875	es
Chapter10_138_138.wav	Me gelina, me gelina, chaipechucandi.	3.4700625	es
Chapter10_139_139.wav	¡Siu! ¡Cai esplítico una banda tanda, na'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'o'	5.051375	es
Chapter10_140_140.wav	Manakaspaka, Kaykunaka, Alma kunata, Kayachispacha, Tiana Jumpa, Jarkanimi.	6.500875	es
Chapter10_141_141.wav	Caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita, caita,	7.356	es
Chapter10_142_142.wav	Manau, ya es doscientificos. ¿Nigilina?	2.618875	es
Chapter10_144_144.wav	¡Chalpichu kangi me gelina!	1.7208125	es
