file	transcription	duration
Chapter10_101_101.wav	シンナー	0.8265
Chapter10_108_108.wav	Sinapas kaip tikausakunapak mūtšorinakunatapas Rorasiumi.	4.890125
Chapter10_109_109.wav	My chętazne.	0.978625
Chapter10_110_110.wav	அلی بچا وہ یادی	1.8628125
Chapter10_112_112.wav	Vecunque!	0.890875
Chapter10_113_113.wav	Shuyacha nawa sita Rura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shuhambina Okotat Shura Shuhambina Okotat Shura Shuhambina Okotat Shuhambina Okotat Shuhambina Okotat Shuh	5.312625
Chapter10_115_115.wav	I'm money white, Drew.	1.6480625
Chapter10_116_116.wav	Каймикан, вы и няри!	2.0314375
Chapter10_117_117.wav	Мана набитат песна Карак Чуканни	2.514625
Chapter10_118_118.wav	Синапазиана по-таусенцимик	2.2416875
Chapter10_119_119.wav	Y mate, manta.	0.7315
Chapter10_122_122.wav	ニンナンだくしふんにかいたんだな、ふんにまんだ	3.193
Chapter10_125_125.wav	Nyayah cinti-mi, maypi pasti yang mi mana nyukan cita krikun.	3.9363125
Chapter10_126_126.wav	Adi Adi	0.8121875
Chapter10_127_127.wav	Manai mutapas, jau cakona. Jankamantami finiariši ka-kona.	4.5765625
Chapter10_128_128.wav	なぁ、ニュカマンチャート先輩	2.3568125
Chapter10_133_133.wav	Aligūt, Alikupeka! Alip patiaka nasinami Žikuni!	4.029875
Chapter10_135_135.wav	Kaitāka jai šuktuta, jai guaminci guasita jali kompimi kašna pasarkani.	6.0949375
Chapter10_136_136.wav	Please check it and chew.	1.6568125
Chapter10_137_137.wav	Pippes, trandar-hi, Natamonanxo?	2.09525
