file	transcription	duration	forced_language
Chapter10_101_101.wav	Siná.	0.8265	es
Chapter10_108_108.wav	Sin apas, caípe causa con apag mochorina con etapas, rorasumi.	4.890125	es
Chapter10_109_109.wav	Me he cantado, ¿no?	0.978625	es
Chapter10_110_110.wav	¡Ali, vachau, ya din!	1.8628125	es
Chapter10_112_112.wav	de Kungi	0.890875	es
Chapter10_113_113.wav	su vía chanawacita, rurasum, su hambina o cotachurasum,	5.312625	es
Chapter10_115_115.wav	¡Amení, ¡y bueno!	1.6480625	es
Chapter10_116_116.wav	¡Cáimikang, vinyari!	2.0314375	es
Chapter10_117_117.wav	Manana Bidad piste en la cara chocan.	2.514625	es
Chapter10_118_118.wav	Sin apasiona, baila un centímicio.	2.2416875	es
Chapter10_119_119.wav	Y mate, manta.	0.7315	es
Chapter10_122_122.wav	¡Nin nanda kushifuni, katanda na huymanda!	3.193	es
Chapter10_125_125.wav	Ya ya chancé mi, maypipas te ame mana ni canchita cricuna.	3.9363125	es
Chapter10_126_126.wav	Adi, adi.	0.8121875	es
Chapter10_127_127.wav	Manay mutapas y acha cona. Y a un camantame fin y a risica cona.	4.5765625	es
Chapter10_128_128.wav	¡Nah! ¡Niokamancha y tosakiwai!	2.3568125	es
Chapter10_133_133.wav	¡Alicu! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica! ¡Alicu, pica	4.029875	es
Chapter10_135_135.wav	Caitaca, chai, chuctuta, chai, guamin, sigo así, te hayanle con pimme, casuna pasar carne.	6.0949375	es
Chapter10_136_136.wav	¡Piste, chai, piti, ancho!	1.6568125	es
Chapter10_137_137.wav	¿Pipas trendarinata monancho?	2.09525	es
Chapter10_13_13.wav	Niao Papa Chapa, Samu Pachapa, Hamikuna	3.445875	es
Chapter10_143_143.wav	¿Qué ni cuantos quita ojeito o se engechu?	1.8993125	es
Chapter10_145_145.wav	¡Chai mandami! ¡Cas narula y kunawa, canga y arcana!	4.138375	es
Chapter10_147_147.wav	Alicia, opas ya que me rircan.	2.72525	es
Chapter10_149_149.wav	¡Sueva con la manna de la llena a porí!	2.1219375	es
Chapter10_14_14.wav	Sin apas, ¡zanca, jurá, con a tam y ministeria!	2.6624375	es
Chapter10_153_153.wav	Guy Pica, tú cuíta ya charing.	2.1219375	es
Chapter10_157_157.wav	¡Asta jambe guasipi! ¡Saya risca! ¡Hambictaca! ¡Masca sumbate aquí en la hurca!	6.580875	es
Chapter10_158_158.wav	Nya miya-chanchi-hanbiq! Nya miya-chanchi!	3.6625	es
Chapter10_15_15.wav	Nián?	0.6658125	es
Chapter10_160_160.wav	¡Niuca!	0.8135625	es
Chapter10_161_161.wav	Horiari! Kicking!	2.352	es
Chapter10_162_162.wav	Ah, macho, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah	3.75975	es
Chapter10_165_165.wav	¡Qué guawa to' wanyu chis kanji!	2.1704375	es
Chapter10_167_167.wav	que igual ni en matagrima kunata mana ya cha nicho.	3.558625	es
Chapter10_169_169.wav	Apendizitis.	1.7420625	es
Chapter10_16_16.wav	Ari, mas y con la calle chique, y me ha pasado y la chica y la mopea alimicando.	4.7923125	es
Chapter10_170_170.wav	¡Chainishka ta riku chita usan gichu!	2.8316875	es
Chapter10_171_171.wav	Ari, rí, rí, cuenas y amiguitas.	1.9121875	es
Chapter10_172_172.wav	Bixas, Urap y Cochos, Catarico, País.	2.92075	es
Chapter10_173_173.wav	y matan y coge.	1.4419375	es
Chapter10_175_175.wav	La mandami, un chasukchinar y gorirca.	2.9538125	es
Chapter10_176_176.wav	La demanda, nunca usariscata, ocho rural carne.	3.830875	es
